NAME_ENG,SOC,RegAgg
Afghanistan,AFG,"Central, Western and South Asia"
ALBANIA,ALB,Eastern Europe
ALGERIA,DZA,North Africa
AMERICAN SAMOA,ASM,Australia_Oceania
Andorra,AND,Rest of World
ANGOLA,AGO,Sub Saharan
ANGUILLA,AIA,Rest of America
ANTARCTICA,ATA,Rest of World
ANTIGUA AND BARBUDA,ATG,Rest of America
Area Under Dispute,A,Rest of World
ARGENTINA,ARG,Rest of America
ARMENIA,ARM,"Central, Western and South Asia"
Aruba,ABW,Rest of America
AUSTRALIA,AUS,Australia_Oceania
Austria,AUT,"EU, UK and EFTA"
Azerbaijan,AZE,"Central, Western and South Asia"
BAHAMAS,BHS,Rest of America
BAHRAIN,BHR,"Central, Western and South Asia"
BANGLADESH,BGD,"Central, Western and South Asia"
Barbados,BRB,Rest of America
Belarus,BLR,Eastern Europe
Belgium,BEL,"EU, UK and EFTA"
BELIZE,BLZ,Rest of America
Benin,BEN,Sub Saharan
BERMUDA,BMU,Rest of America
Bhutan,BTN,"Central, Western and South Asia"
Bolivia,BOL,Rest of America
Bosnia and Herzegovina,BIH,Rest of World
Botswana,BWA,Sub Saharan
Bouvet Island,BVT,Rest of World
BRAZIL,BRA,Brazil
BRITISH INDIAN OCEAN TERRITORY,IOT,"Central, Western and South Asia"
BRUNEI,BRN,Southeast Asia
Bulgaria,BGR,"EU, UK and EFTA"
Burkina Faso,BFA,Sub Saharan
Burundi,BDI,Sub Saharan
CAMBODIA,KHM,Southeast Asia
Cameroon,CMR,Sub Saharan
CANADA,CAN,Canada
CANARIAS,ESP,"EU, UK and EFTA"
CAPE VERDE,CPV,Sub Saharan
CAYMAN ISLANDS,CYM,Rest of America
Central Africa,CAF,Sub Saharan
Chad,TCD,Sub Saharan
CHILE,CHL,Rest of America
China,CHN,China
Christmas Island (AUS.),CXR,Rest of World
Clipperton Island (France),cli,Rest of America
Cocos Islands (AUS.),CCK,Australia_Oceania
COLOMBIA,COL,Rest of America
Congo,COG,Sub Saharan
COOK ISLANDS,COK,Australia_Oceania
COSTA RICA,CRI,Rest of America
COTE DIVOIRE,CIV,Sub Saharan
CROATIA,HRV,"EU, UK and EFTA"
CUBA,CUB,Rest of America
Curacao (Neth.),ANT,"EU, UK and EFTA"
Cyprus,CYP,"EU, UK and EFTA"
Czech Republic,CZE,"EU, UK and EFTA"
D.R.CONGO,COD,Sub Saharan
Democratic People's Republic of Korea,PRK,Rest of World
DENMARK,DNK,"EU, UK and EFTA"
DJIBOUTI,DJI,Sub Saharan
Dominica,DMA,Rest of America
DOMINICAN REPUBLIC,DOM,Rest of America
EAST TIMOR,TMP,Southeast Asia
ECUADOR,ECU,Rest of America
EGYPT,EGY,North Africa
EL SALVADOR,SLV,Rest of America
EQUATORIAL GUINEA,GNQ,Sub Saharan
ERITREA,ERI,Sub Saharan
ESTONIA,EST,"EU, UK and EFTA"
Ethiopia,ETH,Sub Saharan
FAROE ISLANDS,FRO,Rest of World
Fiji,FJI,Australia_Oceania
FINLAND,FIN,"EU, UK and EFTA"
FRANCE,FRA,"EU, UK and EFTA"
FRENCH GUIANA,GUF,Rest of America
FRENCH POLYNESIA,PYF,Australia_Oceania
FRENCH SOUTHERN TERRITORIES,ATF,"EU, UK and EFTA"
GABON,GAB,Sub Saharan
Gambia,GMB,Sub Saharan
Georgia,GEO,"Central, Western and South Asia"
GERMANY,DEU,"EU, UK and EFTA"
Ghana,GHA,Sub Saharan
Gibraltar,GIB,Rest of World
GREECE,GRC,"EU, UK and EFTA"
Greenland (Den.),GRL,Rest of America
GRENADA,GRD,Rest of America
GUADELOUPE,GLP,Rest of America
GUATEMALA,GTM,Rest of America
GUINEA,GIN,Sub Saharan
GUINEA-BISSAU,GNB,Sub Saharan
GUYANA,GUY,Rest of America
HAITI,HTI,Rest of America
HEARD ISLAND AND MCDONALD ISLANDS,HMD,Rest of World
HONDURAS,HND,Rest of America
Hungary,HUN,"EU, UK and EFTA"
ICELAND,ISL,"EU, UK and EFTA"
INDIA,IND,India
INDONESIA,IDN,Southeast Asia
IRAN,IRN,"Central, Western and South Asia"
IRAQ,IRQ,"Central, Western and South Asia"
IRELAND,IRL,"EU, UK and EFTA"
IS.MALVINAS(CLAIMED BY ARG.&U.K.) (FALKLAND IS.),FLK,Rest of America
Israel,ISR,"Central, Western and South Asia"
ITALY,ITA,"EU, UK and EFTA"
JAMAICA,JAM,Rest of America
JAPAN,JPN,Japan
Jordan,JOR,"Central, Western and South Asia"
KAZAKHSTAN,KAZ,"Central, Western and South Asia"
KENYA,KEN,Sub Saharan
KIRIBATI,KIR,Australia_Oceania
"KOREA, REPUBLIC OF",KOR,South Korea
KUWAIT,KWT,"Central, Western and South Asia"
Kyrgyzstan,KGZ,"Central, Western and South Asia"
Laos,LAO,Southeast Asia
Latvia,LVA,"EU, UK and EFTA"
Lebanon,LBN,"Central, Western and South Asia"
Lesotho,LSO,Sub Saharan
Letzebuerg,LUX,"EU, UK and EFTA"
Liberia,LBR,Sub Saharan
LIBYA,LBY,North Africa
Liechtenstein,LIE,"EU, UK and EFTA"
LITHUANIA,LTU,"EU, UK and EFTA"
MADAGASCAR,MDG,Sub Saharan
Malawi,MWI,Sub Saharan
MALAYSIA,MYS,Southeast Asia
MALDIVES,MDV,"Central, Western and South Asia"
Mali,MLI,Sub Saharan
MALTA,MLT,"EU, UK and EFTA"
MARSHALL ISLANDS,MHL,Australia_Oceania
MARTINIQUE,MTQ,Rest of America
MAURITANIA,MRT,Sub Saharan
MAURITIUS,MUS,Sub Saharan
MAYOTTE,COM,Sub Saharan
MEXICO,MEX,Rest of America
Micronesia,FSM,Australia_Oceania
Moldova,MDA,Eastern Europe
Monaco,MCO,Rest of World
Mongolia,MNG,Rest of World
MONTENEGRO,MNE,Rest of World
Montserrat,MSR,Rest of America
MOROCCO,MAR,North Africa
Mozambique,MOZ,Sub Saharan
Myanmar,MMR,Southeast Asia
NAMIBIA,NAM,Sub Saharan
Nauru,NRU,Australia_Oceania
Nepal,NPL,"Central, Western and South Asia"
NETHERLANDS,NLD,"EU, UK and EFTA"
NEW CALEDONIA,NCL,Australia_Oceania
NEW ZEALAND,NZL,Australia_Oceania
NICARAGUA,NIC,Rest of America
Niger,NER,Sub Saharan
NIGERIA,NGA,Sub Saharan
Niue,NIU,Australia_Oceania
Norfolk Island (AUS.),NFK,Australia_Oceania
NORTHERN MARIANA ISLANDS(U.S.),MNP,Australia_Oceania
OMAN,OMN,"Central, Western and South Asia"
PAKISTAN,PAK,"Central, Western and South Asia"
Kashmir,,"Central, Western and South Asia"
PALAU,PLW,Australia_Oceania
Palestine,PSE,"Central, Western and South Asia"
Panama,PAN,Rest of America
PAPUA NEW GUINEA,PNG,Australia_Oceania
Paraguay,PRY,Rest of America
PERU,PER,Rest of America
PHILIPPINES,PHL,Southeast Asia
PITCAIRN ISLANDS,PCN,Australia_Oceania
POLAND,POL,"EU, UK and EFTA"
PORTUGAL,PRT,"EU, UK and EFTA"
PRINCE EDWARD ISLANDS,SF,Canada
PUERTO RICO,PRI,Rest of America
QATAR,QAT,"Central, Western and South Asia"
Reunion,REU,Sub Saharan
ROMANIA,ROM,Eastern Europe
Russian Federation,RUS,Russia
Rwanda,RWA,Sub Saharan
Saba,sab,Rest of America
Saint Barthelemy(Fr.),BLM,Rest of America
SAINT PIERRE AND MIQUELON(Fr.),SPM,"EU, UK and EFTA"
SAINT VINCENT AND THE GRENADINES,VCT,Rest of America
